Zone,Expected_Count,Actual_Count,Difference
1,40,40,0
2,28,28,0
3,31,31,0
7,62,62,0
19,35,35,0
15,42,42,0
16,44,44,0
23,36,36,0
24,37,37,0
20,25,25,0
29,32,32,0
21,31,31,0
22,29,29,0
27,31,31,0
28,39,39,0
6,42,42,0
10,35,35,0
12,30,30,0
17,34,34,0
18,30,30,0
9,38,38,0
31,16,16,0
38,15,15,0
39,15,15,0
40,17,17,0
4,35,35,0
5,17,17,0
13,34,34,0
14,22,22,0
25,44,44,0
8,25,25,0
26,27,27,0
33,16,16,0
30,11,11,0
32,23,23,0
35,25,25,0
34,12,12,0
63,19,19,0
64,22,22,0
65,23,23,0
66,23,23,0
41,25,25,0
50,27,27,0
51,27,27,0
60,29,29,0
61,20,20,0
62,11,11,0
43,15,15,0
44,28,28,0
49,21,21,0
47,25,25,0
48,25,25,0
53,15,15,0
46,19,19,0
57,15,15,0
42,15,15,0
52,13,13,0
59,10,10,0
54,11,11,0
45,16,16,0
36,24,24,0
37,17,17,0
98,12,12,0
99,20,20,0
55,23,23,0
56,22,22,0
58,18,18,0
67,24,24,0
68,48,48,0
69,37,37,0
70,37,37,0
71,35,35,0
72,43,43,0
73,54,54,0
74,42,42,0
76,57,57,0
78,41,41,0
75,46,46,0
77,47,47,0
80,17,17,0
79,22,22,0
