bps_model_id,class,max_height_ft,max_diameter_in
10080_1_2_3_7,A,NA,9
10080_1_2_3_7,B,NA,33
10080_1_2_3_7,C,NA,33
10090_19,A,NA,5
10090_19,B,NA,33
10090_19,C,NA,33
10110_15,A,4.5,NA
10110_15,B,NA,9
10110_15,C,NA,33
10110_16_23_24,A,4.5,NA
10110_16_23_24,B,NA,5
10110_16_23_24,C,NA,21
10110_16_23_24,D,NA,33
10110_16_23_24,E,NA,33
10110_20_29,A,4.5,NA
10110_20_29,B,NA,9
10110_20_29,C,NA,21
10110_20_29,D,NA,21
10110_20_29,E,NA,33
10110_21,A,4.5,NA
10110_21,B,NA,9
10110_21,C,NA,21
10110_21,D,NA,21
10110_21,E,NA,33
10110_22,A,NA,5
10110_22,B,NA,9
10110_22,C,NA,21
10110_27,A,4.5,NA
10110_27,B,NA,9
10110_27,C,NA,33
10110_28,A,4.5,NA
10110_28,B,NA,9
10110_28,C,NA,33
10110_6_10_12_17_18_19,A,NA,5
10110_6_10_12_17_18_19,B,NA,21
10110_6_10_12_17_18_19,C,NA,21
10110_6_10_12_17_18_19,D,NA,21
10110_7,A,4.5,NA
10110_7,B,NA,5
10110_7,C,NA,21
10110_7,D,NA,33
10110_7,E,NA,33
10110_9,A,4.5,NA
10110_9,B,NA,5
10110_9,C,NA,21
10110_9,D,NA,33
10110_9,E,NA,33
10120_16_27,A,NA,NA
10120_16_27,B,NA,NA
10120_16_27,C,NA,NA
10120_17_18_21,A,NA,NA
10120_17_18_21,B,NA,NA
10120_17_18_21,C,NA,NA
10130_31_38_39_40,A,NA,9
10130_31_38_39_40,B,NA,33
10130_31_38_39_40,C,NA,33
10130_31_38_39_40,D,NA,33
10140_4_5,A,NA,9
10140_4_5,B,NA,21
10140_4_5,C,NA,33
10150_2_3_4,A,NA,5
10150_2_3_4,B,NA,33
10150_2_3_4,C,NA,33
10160_13_14,A,NA,NA
10160_13_14,B,NA,NA
10160_13_14,C,NA,9
10160_13_14,D,NA,33
10160_15_28,A,4.5,NA
10160_15_28,B,NA,9
10160_15_28,C,NA,9
10160_15_28,D,NA,21
10160_15_28,E,NA,21
10160_16_23_24_25,A,NA,NA
10160_16_23_24_25,B,NA,9
10160_16_23_24_25,C,NA,9
10160_16_23_24_25,D,NA,21
10160_16_23_24_25,E,NA,21
10160_17,A,NA,NA
10160_17,B,NA,9
