bps_model_id,state_class_source,state_class_to,agemin,agemax
10080_1_2_3_7,Early1:ALL,Mid1:OPN,0,29
10080_1_2_3_7,Mid1:CLS,Mid1:CLS,30,999
10080_1_2_3_7,Mid1:OPN,Mid1:OPN,30,999
10090_19,Early1:ALL,Mid1:OPN,0,20
10090_19,Late1:CLS,Late1:CLS,120,999
10090_19,Mid1:OPN,Mid1:OPN,20,999
10110_15,Early1:ALL,Mid1:CLS,0,9
10110_15,Late1:CLS,Late1:CLS,70,999
10110_15,Mid1:CLS,Late1:CLS,10,69
10110_16_23_24,Early1:ALL,Mid1:CLS,0,39
10110_16_23_24,Late1:ALL,Late1:CLS,80,149
10110_16_23_24,Late1:CLS,Late1:CLS,150,999
10110_16_23_24,Mid1:CLS,Late1:ALL,40,79
10110_16_23_24,Mid2:CLS,Mid2:CLS,80,999
10110_20_29,Early1:ALL,Mid1:ALL,0,15
10110_20_29,Late1:CLS,Late1:CLS,40,999
10110_20_29,Late1:OPN,Late2:CLS,40,149
10110_20_29,Late2:CLS,Late2:CLS,150,999
10110_20_29,Mid1:ALL,Late1:CLS,16,39
10110_21,Early1:ALL,Mid1:ALL,0,9
10110_21,Late1:CLS,Late1:CLS,40,999
10110_21,Late2:OPN,Late3:CLS,40,149
10110_21,Late3:CLS,Late3:CLS,150,999
10110_21,Mid1:ALL,Late1:CLS,10,39
10110_22,Early1:ALL,Mid1:CLS,0,10
10110_22,Late1:CLS,Late1:CLS,61,999
10110_22,Mid1:CLS,Late1:CLS,11,60
10110_27,Early1:ALL,Mid1:CLS,0,9
10110_27,Late1:ALL,Late1:ALL,70,999
10110_27,Mid1:CLS,Late1:ALL,10,69
10110_28,Early1:ALL,Mid1:CLS,0,9
10110_28,Late1:CLS,Late1:CLS,70,999
10110_28,Mid1:CLS,Late1:CLS,10,69
10110_6_10_12_17_18_19,Early1:CLS,Mid1:CLS,0,9
10110_6_10_12_17_18_19,Late1:CLS,Late1:CLS,40,999
10110_6_10_12_17_18_19,Late1:OPN,Late1:OPN,100,999
10110_6_10_12_17_18_19,Mid1:CLS,Late1:CLS,10,39
10110_7,Early1:ALL,Mid1:CLS,0,39
10110_7,Late1:ALL,Late1:CLS,80,149
10110_7,Late1:CLS,Late1:CLS,150,999
10110_7,Mid1:CLS,Late1:ALL,40,79
10110_7,Mid2:CLS,Mid2:CLS,80,999
10110_9,Early1:ALL,Mid1:CLS,0,39
10110_9,Late1:ALL,Late1:CLS,80,149
10110_9,Late1:CLS,Late1:CLS,150,999
10110_9,Mid1:CLS,Late1:ALL,40,79
10110_9,Mid2:CLS,Mid2:CLS,80,999
10120_16_27,Early1:ALL,Mid1:CLS,0,8
10120_16_27,Late1:CLS,Late1:CLS,30,999
10120_16_27,Mid1:CLS,Late1:CLS,9,29
10120_17_18_21,Early1:ALL,Mid1:CLS,0,8
10120_17_18_21,Late1:CLS,Late1:CLS,30,999
10120_17_18_21,Mid1:CLS,Late1:CLS,9,29
10130_31_38_39_40,Early1:ALL,Late1:ALL,0,20
10130_31_38_39_40,Late1:ALL,Late1:ALL,21,999
10130_31_38_39_40,Late1:CLS,Late1:CLS,21,999
10130_31_38_39_40,Late1:OPN,Late1:OPN,21,999
10140_4_5,Early1:ALL,Mid1:CLS,0,24
10140_4_5,Late1:CLS,Late1:CLS,50,999
10140_4_5,Mid1:CLS,Late1:CLS,25,49
10150_2_3_4,Early1:ALL,Mid1:CLS,0,4
10150_2_3_4,Late1:CLS,Late1:CLS,50,999
10150_2_3_4,Mid1:CLS,Late1:CLS,5,49
10160_13_14,Early1:OPN,Mid1:OPN,0,9
10160_13_14,Late1:OPN,Late1:OPN,100,999
10160_13_14,Mid1:OPN,Mid2:OPN,10,29
10160_13_14,Mid2:OPN,Late1:OPN,30,99
10160_15_28,Early1:ALL,Mid1:OPN,0,59
10160_15_28,Late1:CLS,Late1:CLS,180,999
10160_15_28,Late1:OPN,Late1:OPN,160,999
10160_15_28,Mid1:CLS,Late1:CLS,60,179
10160_15_28,Mid1:OPN,Late1:OPN,60,159
10160_16_23_24_25,Early1:ALL,Mid1:OPN,0,59
10160_16_23_24_25,Late1:CLS,Late1:CLS,180,999
10160_16_23_24_25,Late1:OPN,Late1:OPN,160,999
10160_16_23_24_25,Mid1:CLS,Late1:CLS,60,179
10160_16_23_24_25,Mid1:OPN,Late1:OPN,60,159
10160_17,Early1:ALL,Mid1:OPN,0,59
10160_17,Late1:CLS,Late1:CLS,180,999
10160_17,Late1:OPN,Late1:OPN,160,999
10160_17,Mid1:CLS,Late1:CLS,60,179
10160_17,Mid1:OPN,Late1:OPN,60,159
10160_22,Early1:OPN,Mid1:OPN,0,30
10160_22,Late1:OPN,Late1:OPN,201,999
10160_22,Mid1:OPN,Late1:OPN,31,200
10170_6_7_8_9_12_18,Early1:OPN,Mid1:OPN,0,9
10170_6_7_8_9_12_18,Late1:CLS,Late1:CLS,120,999
10170_6_7_8_9_12_18,Late1:OPN,Late1:CLS,40,119
10170_6_7_8_9_12_18,Late2:OPN,Late2:OPN,30,999
10170_6_7_8_9_12_18,Mid1:OPN,Late1:OPN,10,39
10180_1_7,Early1:ALL,Mid1:CLS,0,19
10180_1_7,Late1:CLS,Late1:CLS,100,999
10180_1_7,Late1:OPN,Late1:OPN,75,999
10180_1_7,Mid1:CLS,Late1:CLS,20,99
10180_1_7,Mid1:OPN,Late1:OPN,20,74
10190_13_14,Early1:OPN,Mid1:OPN,0,9
10190_13_14,Late1:OPN,Late1:OPN,100,999
10190_13_14,Mid1:OPN,Mid2:OPN,10,29
10190_13_14,Mid2:OPN,Late1:OPN,30,99
10190_15,Early1:OPN,Mid1:OPN,0,9
