bps_model_id,severity,return_interval(years),percent_of_all_fires
10080_1_2_3_7,Replacement,294.0,3.0
10080_1_2_3_7,Moderate (Mixed),38.0,26.0
10080_1_2_3_7,Low (Surface),14.0,71.0
10080_1_2_3_7,All Fires,10.0,100.0
10090_19,Replacement,84.0,83.0
10090_19,Moderate (Mixed),397.0,17.0
10090_19,Low (Surface),,
10090_19,All Fires,69.0,100.0
10110_15,Replacement,145.0,79.0
10110_15,Moderate (Mixed),1758.0,7.0
10110_15,Low (Surface),836.0,14.0
10110_15,All Fires,116.0,100.0
10110_16_23_24,Replacement,58.0,46.0
10110_16_23_24,Moderate (Mixed),49.0,54.0
10110_16_23_24,Low (Surface),,
10110_16_23_24,All Fires,27.0,100.0
10110_20_29,Replacement,123.0,83.0
10110_20_29,Moderate (Mixed),598.0,17.0
10110_20_29,Low (Surface),,
10110_20_29,All Fires,102.0,100.0
10110_21,Replacement,110.0,100.0
10110_21,Moderate (Mixed),,
10110_21,Low (Surface),,
10110_21,All Fires,110.0,100.0
10110_22,Replacement,165.0,100.0
10110_22,Moderate (Mixed),,
10110_22,Low (Surface),,
10110_22,All Fires,165.0,100.0
10110_27,Replacement,146.0,79.0
10110_27,Moderate (Mixed),1707.0,7.0
10110_27,Low (Surface),835.0,14.0
10110_27,All Fires,116.0,100.0
10110_28,Replacement,148.0,79.0
10110_28,Moderate (Mixed),1761.0,7.0
10110_28,Low (Surface),860.0,14.0
10110_28,All Fires,118.0,100.0
10110_6_10_12_17_18_19,Replacement,67.0,46.0
10110_6_10_12_17_18_19,Moderate (Mixed),56.0,54.0
10110_6_10_12_17_18_19,Low (Surface),,
10110_6_10_12_17_18_19,All Fires,30.0,100.0
10110_7,Replacement,124.0,45.0
10110_7,Moderate (Mixed),100.0,55.0
10110_7,Low (Surface),,
10110_7,All Fires,55.0,100.0
10110_9,Replacement,59.0,46.0
10110_9,Moderate (Mixed),50.0,54.0
10110_9,Low (Surface),,
10110_9,All Fires,27.0,100.0
10120_16_27,Replacement,135.0,38.0
10120_16_27,Moderate (Mixed),81.0,62.0
10120_16_27,Low (Surface),,
10120_16_27,All Fires,51.0,100.0
10120_17_18_21,Replacement,137.0,37.0
10120_17_18_21,Moderate (Mixed),82.0,63.0
10120_17_18_21,Low (Surface),,
10120_17_18_21,All Fires,51.0,100.0
10130_31_38_39_40,Replacement,300.0,6.0
10130_31_38_39_40,Moderate (Mixed),44.0,38.0
10130_31_38_39_40,Low (Surface),30.0,56.0
10130_31_38_39_40,All Fires,17.0,100.0
10140_4_5,Replacement,340.0,2.0
10140_4_5,Moderate (Mixed),35.0,22.0
10140_4_5,Low (Surface),10.0,76.0
10140_4_5,All Fires,8.0,100.0
10150_2_3_4,Replacement,405.0,7.0
10150_2_3_4,Moderate (Mixed),,
10150_2_3_4,Low (Surface),32.0,93.0
10150_2_3_4,All Fires,30.0,100.0
10160_13_14,Replacement,484.0,33.0
10160_13_14,Moderate (Mixed),341.0,46.0
10160_13_14,Low (Surface),771.0,21.0
10160_13_14,All Fires,159.0,100.0
10160_15_28,Replacement,425.0,29.0
10160_15_28,Moderate (Mixed),191.0,65.0
10160_15_28,Low (Surface),2209.0,6.0
10160_15_28,All Fires,125.0,100.0
10160_16_ 23_24_25,Replacement,431.0,29.0
10160_16_ 23_24_25,Moderate (Mixed),193.0,65.0
10160_16_ 23_24_25,Low (Surface),2239.0,6.0
10160_16_ 23_24_25,All Fires,126.0,100.0
10160_17,Replacement,424.0,29.0
10160_17,Moderate (Mixed),193.0,65.0
10160_17,Low (Surface),2153.0,6.0
10160_17,All Fires,125.0,100.0
10160_22,Replacement,456.0,31.0
10160_22,Moderate (Mixed),214.0,65.0
10160_22,Low (Surface),3283.0,4.0
10160_22,All Fires,139.0,100.0
10170_6_7_8_9_12_18,Replacement,454.0,38.0
10170_6_7_8_9_12_18,Moderate (Mixed),278.0,62.0
10170_6_7_8_9_12_18,Low (Surface),,
10170_6_7_8_9_12_18,All Fires,172.0,100.0
10180_1_7,Replacement,250.0,26.0
10180_1_7,Moderate (Mixed),127.0,50.0
10180_1_7,Low (Surface),273.0,24.0
10180_1_7,All Fires,64.0,100.0
10190_13_14,Replacement,473.0,33.0
10190_13_14,Moderate (Mixed),337.0,47.0
10190_13_14,Low (Surface),778.0,20.0
10190_13_14,All Fires,157.0,100.0
10190_15,Replacement,479.0,33.0
10190_15,Moderate (Mixed),338.0,47.0
10190_15,Low (Surface),771.0,20.0
10190_15,All Fires,158.0,100.0
10190_4,Replacement,632.0,32.0
10190_4,Moderate (Mixed),461.0,43.0
10190_4,Low (Surface),803.0,25.0
10190_4,All Fires,200.0,100.0
10190_6_7_9_12_16_17_18_19,Replacement,842.0,51.0
10190_6_7_9_12_16_17_18_19,Moderate (Mixed),876.0,49.0
10190_6_7_9_12_16_17_18_19,Low (Surface),,
10190_6_7_9_12_16_17_18_19,All Fires,429.0,100.0
10200_13,Replacement,969.0,36.0
10200_13,Moderate (Mixed),,
10200_13,Low (Surface),535.0,64.0
10200_13,All Fires,345.0,100.0
10200_6_9_12_17,Replacement,497.0,29.0
10200_6_9_12_17,Moderate (Mixed),,
10200_6_9_12_17,Low (Surface),200.0,71.0
10200_6_9_12_17,All Fires,143.0,100.0
10210_2_3_6_7,Replacement,230.0,4.0
10210_2_3_6_7,Moderate (Mixed),71.0,13.0
10210_2_3_6_7,Low (Surface),12.0,83.0
10210_2_3_6_7,All Fires,9.0,100.0
10220_2_3_6_7,Replacement,232.0,4.0
10220_2_3_6_7,Moderate (Mixed),70.0,13.0
10220_2_3_6_7,Low (Surface),11.0,83.0
10220_2_3_6_7,All Fires,9.0,100.0
10230_14_15_24_25,Replacement,129.0,18.0
10230_14_15_24_25,Moderate (Mixed),195.0,12.0
10230_14_15_24_25,Low (Surface),34.0,70.0
10230_14_15_24_25,All Fires,24.0,100.0
10240_14_15_24,Replacement,124.0,19.0
10240_14_15_24,Moderate (Mixed),189.0,12.0
10240_14_15_24,Low (Surface),33.0,69.0
10240_14_15_24,All Fires,23.0,100.0
10240_25_27,Replacement,59.0,12.0
10240_25_27,Moderate (Mixed),30.0,23.0
10240_25_27,Low (Surface),11.0,65.0
10240_25_27,All Fires,7.0,100.0
