bps_model_id,state_class_source,state_class_to,transition_type_id,probability,return_interval(years),age_reset,tst_min
10080_1_2_3_7,Early1:ALL,Early1:ALL,Mixed Fire,0.08,13,No,0
10080_1_2_3_7,Early1:ALL,Early1:ALL,Replacement Fire,0.005,200,Yes,0
10080_1_2_3_7,Early1:ALL,Early1:ALL,Surface Fire,0.02,50,No,0
10080_1_2_3_7,Early1:ALL,Mid1:CLS,Alternative Succession,1.0,1,Yes,28
10080_1_2_3_7,Mid1:CLS,Early1:ALL,Replacement Fire,0.0033,303,Yes,0
10080_1_2_3_7,Mid1:CLS,Mid1:OPN,Insects or Disease,0.01,100,Yes,0
10080_1_2_3_7,Mid1:CLS,Mid1:OPN,Mixed Fire,0.05,20,Yes,0
10080_1_2_3_7,Mid1:CLS,Mid1:OPN,Surface Fire,0.05,20,Yes,0
10080_1_2_3_7,Mid1:OPN,Early1:ALL,Replacement Fire,0.0033,303,Yes,0
10080_1_2_3_7,Mid1:OPN,Mid1:CLS,Alternative Succession,1.0,1,Yes,29
10080_1_2_3_7,Mid1:OPN,Mid1:OPN,Mixed Fire,0.02,50,No,0
10080_1_2_3_7,Mid1:OPN,Mid1:OPN,Surface Fire,0.08,13,No,0
10090_19,Early1:ALL,Early1:ALL,Mixed Fire,0.0025,400,No,0
10090_19,Early1:ALL,Early1:ALL,Replacement Fire,0.012,83,Yes,0
10090_19,Late1:CLS,Early1:ALL,Replacement Fire,0.012,83,Yes,0
10090_19,Late1:CLS,Mid1:OPN,Mixed Fire,0.0025,400,Yes,0
10090_19,Mid1:OPN,Early1:ALL,Replacement Fire,0.012,83,Yes,0
10090_19,Mid1:OPN,Late1:CLS,Alternative Succession,1.0,1,Yes,150
10090_19,Mid1:OPN,Mid1:OPN,Mixed Fire,0.0025,400,No,0
10110_15,Early1:ALL,Early1:ALL,Native Grazing,0.2,5,No,0
10110_15,Early1:ALL,Early1:ALL,Replacement Fire,0.005,200,Yes,0
10110_15,Late1:CLS,Early1:ALL,Mixed Fire,0.001,"1,000",Yes,0
10110_15,Late1:CLS,Early1:ALL,Replacement Fire,0.007,143,Yes,0
10110_15,Late1:CLS,Late1:CLS,Insects or Disease,0.002,500,No,0
10110_15,Late1:CLS,Late1:CLS,Surface Fire,0.002,500,No,0
10110_15,Late1:CLS,Late1:CLS,Wind or Weather or Stress,0.005,200,No,0
10110_15,Mid1:CLS,Early1:ALL,Replacement Fire,0.007,143,Yes,0
10110_15,Mid1:CLS,Mid1:CLS,Insects or Disease,0.002,500,No,0
10110_16_23_24,Early1:ALL,Early1:ALL,Mixed Fire,0.02,50,No,0
10110_16_23_24,Early1:ALL,Early1:ALL,Replacement Fire,0.017,59,Yes,0
10110_16_23_24,Late1:ALL,Early1:ALL,Replacement Fire,0.017,59,Yes,0
10110_16_23_24,Late1:ALL,Late1:ALL,Mixed Fire,0.02,50,No,0
10110_16_23_24,Late1:CLS,Early1:ALL,Replacement Fire,0.017,59,Yes,0
10110_16_23_24,Late1:CLS,Late1:ALL,Insects or Disease,0.003,333,Yes,0
10110_16_23_24,Late1:CLS,Late1:ALL,Mixed Fire,0.02,50,Yes,0
10110_16_23_24,Mid1:CLS,Early1:ALL,Replacement Fire,0.017,59,Yes,0
10110_16_23_24,Mid1:CLS,Mid1:CLS,Mixed Fire,0.02,50,No,0
10110_16_23_24,Mid1:CLS,Mid2:CLS,Alternative Succession,0.006,167,Yes,0
10110_16_23_24,Mid2:CLS,Early1:ALL,Replacement Fire,0.017,59,Yes,0
10110_16_23_24,Mid2:CLS,Mid1:CLS,Insects or Disease,0.005,200,Yes,0
10110_16_23_24,Mid2:CLS,Mid2:CLS,Mixed Fire,0.02,50,No,0
10110_20_29,Early1:ALL,Early1:ALL,Native Grazing,0.04,25,Yes,0
10110_20_29,Late1:CLS,Early1:ALL,Replacement Fire,0.01,100,Yes,0
10110_20_29,Late1:CLS,Late1:CLS,Mixed Fire,0.0067,149,No,0
10110_20_29,Late1:CLS,Late1:OPN,Insects or Disease,0.005,200,Yes,0
10110_20_29,Late1:CLS,Late1:OPN,Native Grazing,0.01,100,Yes,0
10110_20_29,Late1:CLS,Late2:CLS,Alternative Succession,1.0,1,Yes,200
10110_20_29,Late1:OPN,Early1:ALL,Replacement Fire,0.01,100,Yes,0
10110_20_29,Late1:OPN,Late1:OPN,Insects or Disease,0.005,200,No,0
10110_20_29,Late1:OPN,Late1:OPN,Native Grazing,0.01,100,No,0
10110_20_29,Late2:CLS,Early1:ALL,Replacement Fire,0.01,100,Yes,0
10110_20_29,Mid1:ALL,Early1:ALL,Replacement Fire,0.01,100,Yes,0
10110_21,Early1:ALL,Early1:ALL,Native Grazing,0.01,100,Yes,0
10110_21,Late1:CLS,Early1:ALL,Replacement Fire,0.01,100,Yes,0
10110_21,Late1:CLS,Late2:OPN,Insects or Disease,0.005,200,Yes,0
10110_21,Late1:CLS,Late2:OPN,Native Grazing,0.01,100,Yes,0
10110_21,Late1:CLS,Late3:CLS,Alternative Succession,1.0,1,Yes,200
10110_21,Late2:OPN,Early1:ALL,Replacement Fire,0.01,100,Yes,0
10110_21,Late2:OPN,Late2:OPN,Insects or Disease,0.005,200,No,0
10110_21,Late2:OPN,Late2:OPN,Native Grazing,0.01,100,No,0
10110_21,Late3:CLS,Early1:ALL,Replacement Fire,0.01,100,Yes,0
10110_21,Mid1:ALL,Early1:ALL,Replacement Fire,0.01,100,Yes,0
10110_22,Early1:ALL,Early1:ALL,Native Grazing,0.002,500,Yes,0
10110_22,Early1:ALL,Early1:ALL,Replacement Fire,0.005,200,Yes,0
10110_22,Late1:CLS,Early1:ALL,Insects or Disease,0.0035,286,Yes,0
10110_22,Late1:CLS,Early1:ALL,Replacement Fire,0.007,143,Yes,0
10110_22,Mid1:CLS,Early1:ALL,Replacement Fire,0.005,200,Yes,0
10110_27,Early1:ALL,Early1:ALL,Native Grazing,0.2,5,No,0
10110_27,Early1:ALL,Early1:ALL,Replacement Fire,0.005,200,Yes,0
10110_27,Late1:ALL,Early1:ALL,Mixed Fire,0.001,"1,000",Yes,0
10110_27,Late1:ALL,Early1:ALL,Replacement Fire,0.007,143,Yes,0
10110_27,Late1:ALL,Late1:ALL,Insects or Disease,0.002,500,No,0
10110_27,Late1:ALL,Late1:ALL,Surface Fire,0.002,500,No,0
10110_27,Late1:ALL,Late1:ALL,Wind or Weather or Stress,0.005,200,No,0
10110_27,Mid1:CLS,Early1:ALL,Replacement Fire,0.007,143,Yes,0
10110_27,Mid1:CLS,Mid1:CLS,Insects or Disease,0.002,500,No,0
10110_28,Early1:ALL,Early1:ALL,Native Grazing,0.2,5,No,0
