Iteration,Timestep,BPS_MODEL,StateClassIDSource,StratumIDDest,StateClassIDDest,AgeMin,AgeMax,Location
,,10080_1_2_3_7,Early1:ALL,,Mid1:OPN,0,29,A1
,,10080_1_2_3_7,Mid1:CLS,,Mid1:CLS,30,999,C2
,,10080_1_2_3_7,Mid1:OPN,,Mid1:OPN,30,999,C1
,,10090_19,Early1:ALL,,Mid1:OPN,0,20,A1
,,10090_19,Late1:CLS,,Late1:CLS,120,999,C2
,,10090_19,Mid1:OPN,,Mid1:OPN,20,999,C1
,,10110_15,Early1:ALL,,Mid1:CLS,0,9,A1
,,10110_15,Late1:CLS,,Late1:CLS,70,999,C1
,,10110_15,Mid1:CLS,,Late1:CLS,10,69,B1
,,10110_16_23_24,Early1:ALL,,Mid1:CLS,0,39,B2
,,10110_16_23_24,Late1:ALL,,Late1:CLS,80,149,A3
,,10110_16_23_24,Late1:CLS,,Late1:CLS,150,999,C3
,,10110_16_23_24,Mid1:CLS,,Late1:ALL,40,79,C1
,,10110_16_23_24,Mid2:CLS,,Mid2:CLS,80,999,A1
,,10110_20_29,Early1:ALL,,Mid1:ALL,0,15,B2
,,10110_20_29,Late1:CLS,,Late1:CLS,40,999,A1
,,10110_20_29,Late1:OPN,,Late2:CLS,40,149,A3
,,10110_20_29,Late2:CLS,,Late2:CLS,150,999,C3
,,10110_20_29,Mid1:ALL,,Late1:CLS,16,39,C1
,,10110_21,Early1:ALL,,Mid1:ALL,0,9,B2
,,10110_21,Late1:CLS,,Late1:CLS,40,999,A1
,,10110_21,Late2:OPN,,Late3:CLS,40,149,A3
,,10110_21,Late3:CLS,,Late3:CLS,150,999,C3
,,10110_21,Mid1:ALL,,Late1:CLS,10,39,C1
,,10110_22,Early1:ALL,,Mid1:CLS,0,10,B2
,,10110_22,Late1:CLS,,Late1:CLS,61,999,A1
,,10110_22,Mid1:CLS,,Late1:CLS,11,60,C1
,,10110_27,Early1:ALL,,Mid1:CLS,0,9,B2
,,10110_27,Late1:ALL,,Late1:ALL,70,999,C3
,,10110_27,Mid1:CLS,,Late1:ALL,10,69,C1
,,10110_28,Early1:ALL,,Mid1:CLS,0,9,B2
,,10110_28,Late1:CLS,,Late1:CLS,70,999,C3
,,10110_28,Mid1:CLS,,Late1:CLS,10,69,C1
,,10110_6_10_12_17_18_19,Early1:CLS,,Mid1:CLS,0,9,B2
,,10110_6_10_12_17_18_19,Late1:CLS,,Late1:CLS,40,999,C3
,,10110_6_10_12_17_18_19,Late1:OPN,,Late1:OPN,100,999,A3
,,10110_6_10_12_17_18_19,Mid1:CLS,,Late1:CLS,10,39,C1
,,10110_7,Early1:ALL,,Mid1:CLS,0,39,A1
,,10110_7,Late1:ALL,,Late1:CLS,80,149,C1
,,10110_7,Late1:CLS,,Late1:CLS,150,999,D1
,,10110_7,Mid1:CLS,,Late1:ALL,40,79,B1
,,10110_7,Mid2:CLS,,Mid2:CLS,80,999,B2
,,10110_9,Early1:ALL,,Mid1:CLS,0,39,B2
,,10110_9,Late1:ALL,,Late1:CLS,80,149,A3
,,10110_9,Late1:CLS,,Late1:CLS,150,999,C3
,,10110_9,Mid1:CLS,,Late1:ALL,40,79,C1
,,10110_9,Mid2:CLS,,Mid2:CLS,80,999,A1
,,10120_16_27,Early1:ALL,,Mid1:CLS,0,8,B1
,,10120_16_27,Late1:CLS,,Late1:CLS,30,999,A2
,,10120_16_27,Mid1:CLS,,Late1:CLS,9,29,C2
,,10120_17_18_21,Early1:ALL,,Mid1:CLS,0,8,B1
,,10120_17_18_21,Late1:CLS,,Late1:CLS,30,999,A2
,,10120_17_18_21,Mid1:CLS,,Late1:CLS,9,29,C2
,,10130_31_38_39_40,Early1:ALL,,Late1:ALL,0,20,B2
,,10130_31_38_39_40,Late1:ALL,,Late1:ALL,21,999,C1
,,10130_31_38_39_40,Late1:CLS,,Late1:CLS,21,999,C3
,,10130_31_38_39_40,Late1:OPN,,Late1:OPN,21,999,A1
,,10140_4_5,Early1:ALL,,Mid1:CLS,0,24,B2
,,10140_4_5,Late1:CLS,,Late1:CLS,50,999,C3
,,10140_4_5,Mid1:CLS,,Late1:CLS,25,49,C1
,,10150_2_3_4,Early1:ALL,,Mid1:CLS,0,4,B2
,,10150_2_3_4,Late1:CLS,,Late1:CLS,50,999,C3
,,10150_2_3_4,Mid1:CLS,,Late1:CLS,5,49,C1
,,10160_13_14,Early1:OPN,,Mid1:OPN,0,9,B2
,,10160_13_14,Late1:OPN,,Late1:OPN,100,999,A3
,,10160_13_14,Mid1:OPN,,Mid2:OPN,10,29,C1
,,10160_13_14,Mid2:OPN,,Late1:OPN,30,99,A1
,,10160_15_28,Early1:ALL,,Mid1:OPN,0,59,B2
,,10160_15_28,Late1:CLS,,Late1:CLS,180,999,C3
,,10160_15_28,Late1:OPN,,Late1:OPN,160,999,A3
,,10160_15_28,Mid1:CLS,,Late1:CLS,60,179,C1
,,10160_15_28,Mid1:OPN,,Late1:OPN,60,159,A1
,,10160_16_23_24_25,Early1:ALL,,Mid1:OPN,0,59,B2
,,10160_16_23_24_25,Late1:CLS,,Late1:CLS,180,999,C3
,,10160_16_23_24_25,Late1:OPN,,Late1:OPN,160,999,A3
,,10160_16_23_24_25,Mid1:CLS,,Late1:CLS,60,179,C1
,,10160_16_23_24_25,Mid1:OPN,,Late1:OPN,60,159,A1
,,10160_17,Early1:ALL,,Mid1:OPN,0,59,B2
,,10160_17,Late1:CLS,,Late1:CLS,180,999,C3
,,10160_17,Late1:OPN,,Late1:OPN,160,999,A3
,,10160_17,Mid1:CLS,,Late1:CLS,60,179,C1
,,10160_17,Mid1:OPN,,Late1:OPN,60,159,A1
,,10160_22,Early1:OPN,,Mid1:OPN,0,30,B1
,,10160_22,Late1:OPN,,Late1:OPN,201,999,A2
,,10160_22,Mid1:OPN,,Late1:OPN,31,200,C2
,,10170_6_7_8_9_12_18,Early1:OPN,,Mid1:OPN,0,9,A1
,,10170_6_7_8_9_12_18,Late1:CLS,,Late1:CLS,120,999,D1
,,10170_6_7_8_9_12_18,Late1:OPN,,Late1:CLS,40,119,C1
,,10170_6_7_8_9_12_18,Late2:OPN,,Late2:OPN,30,999,C2
,,10170_6_7_8_9_12_18,Mid1:OPN,,Late1:OPN,10,39,B1
,,10180_1_7,Early1:ALL,,Mid1:CLS,0,19,B2
,,10180_1_7,Late1:CLS,,Late1:CLS,100,999,C3
,,10180_1_7,Late1:OPN,,Late1:OPN,75,999,A3
,,10180_1_7,Mid1:CLS,,Late1:CLS,20,99,C1
,,10180_1_7,Mid1:OPN,,Late1:OPN,20,74,A1
,,10190_13_14,Early1:OPN,,Mid1:OPN,0,9,B2
,,10190_13_14,Late1:OPN,,Late1:OPN,100,999,A3
,,10190_13_14,Mid1:OPN,,Mid2:OPN,10,29,C1
,,10190_13_14,Mid2:OPN,,Late1:OPN,30,99,A1
,,10190_15,Early1:OPN,,Mid1:OPN,0,9,B2
,,10190_15,Late1:OPN,,Late1:OPN,100,999,A3
,,10190_15,Mid1:OPN,,Mid2:OPN,10,29,C1
,,10190_15,Mid2:OPN,,Late1:OPN,30,99,A1
,,10190_4,Early1:OPN,,Mid1:OPN,0,9,B2
,,10190_4,Late1:OPN,,Late2:OPN,150,299,A3
,,10190_4,Late2:OPN,,Late2:OPN,300,999,C3
,,10190_4,Mid1:OPN,,Mid2:OPN,10,29,C1
,,10190_4,Mid2:OPN,,Late1:OPN,30,149,A1
,,10190_6_7_9_12_16_17_18_19,Early1:OPN,,Mid1:OPN,0,49,A1
,,10190_6_7_9_12_16_17_18_19,Late1:OPN,,Late2:OPN,100,199,C1
,,10190_6_7_9_12_16_17_18_19,Late2:OPN,,Late2:OPN,200,999,D1
,,10190_6_7_9_12_16_17_18_19,Mid1:OPN,,Late1:OPN,50,99,B1
,,10200_13,Early1:ALL,,Mid1:OPN,0,149,B2
,,10200_13,Late1:OPN,,Late1:OPN,350,999,A3
,,10200_13,Mid1:OPN,,Late1:OPN,150,349,A1
,,10200_6_9_12_17,Early1:ALL,,Mid1:OPN,0,99,B2
,,10200_6_9_12_17,Late1:OPN,,Late1:OPN,250,999,A3
,,10200_6_9_12_17,Mid1:OPN,,Late1:OPN,100,249,A1
,,10210_2_3_6_7,Early1:ALL,,Mid1:OPN,0,49,B2
,,10210_2_3_6_7,Late1:CLS,,Late1:CLS,151,999,C3
,,10210_2_3_6_7,Late1:OPN,,Late1:OPN,151,999,A3
,,10210_2_3_6_7,Mid1:CLS,,Late1:CLS,50,150,C1
,,10210_2_3_6_7,Mid1:OPN,,Late1:OPN,50,150,A1
,,10220_2_3_6_7,Early1:ALL,,Mid1:OPN,0,49,B2
,,10220_2_3_6_7,Late1:CLS,,Late1:CLS,151,999,C3
,,10220_2_3_6_7,Late1:OPN,,Late1:OPN,151,999,A3
,,10220_2_3_6_7,Mid1:CLS,,Late1:CLS,50,150,C1
,,10220_2_3_6_7,Mid1:OPN,,Late1:OPN,50,150,A1
,,10230_14_15_24_25,Early1:ALL,,Mid1:OPN,0,29,B2
,,10230_14_15_24_25,Late1:OPN,,Late1:OPN,130,999,A3
,,10230_14_15_24_25,Mid1:CLS,,Late1:OPN,30,129,C1
,,10230_14_15_24_25,Mid1:OPN,,Late1:OPN,30,129,A1
,,10240_14_15_24,Early1:ALL,,Mid1:OPN,0,29,B2
,,10240_14_15_24,Late1:OPN,,Late1:OPN,130,999,A3
,,10240_14_15_24,Mid1:CLS,,Late1:OPN,30,129,C1
,,10240_14_15_24,Mid1:OPN,,Late1:OPN,30,129,A1
,,10240_25_27,Early1:ALL,,Mid1:OPN,0,20,B1
,,10240_25_27,Late1:OPN,,Late1:OPN,71,999,B3
,,10240_25_27,Mid1:CLS,,Late1:OPN,21,70,C2
