BPS_MODEL,Severity,Avg.FI,Percent.of.All.Fires,Min.FI,Max.FI
10080_1_2_3_7,Replacement,294,3,,
10080_1_2_3_7,Moderate (Mixed),38,26,,
10080_1_2_3_7,Low (Surface),14,71,,
10080_1_2_3_7,All Fires,10,100,,
10090_19,Replacement,84,83,50,150
10090_19,Moderate (Mixed),397,17,,
10090_19,Low (Surface),,,,
10090_19,All Fires,69,100,,
10110_15,Replacement,145,79,50,300
10110_15,Moderate (Mixed),1758,7,,
10110_15,Low (Surface),836,14,,
10110_15,All Fires,116,100,,
10110_16_23_24,Replacement,58,46,50,300
10110_16_23_24,Moderate (Mixed),49,54,20,60
10110_16_23_24,Low (Surface),,,,
10110_16_23_24,All Fires,27,100,,
10110_20_29,Replacement,123,83,4,200
10110_20_29,Moderate (Mixed),598,17,,
10110_20_29,Low (Surface),,,,
10110_20_29,All Fires,102,100,,
10110_21,Replacement,110,100,4,200
10110_21,Moderate (Mixed),,,,
10110_21,Low (Surface),,,,
10110_21,All Fires,110,100,,
10110_22,Replacement,165,100,,
10110_22,Moderate (Mixed),,,,
10110_22,Low (Surface),,,,
10110_22,All Fires,165,100,,
10110_27,Replacement,146,79,50,300
10110_27,Moderate (Mixed),1707,7,,
10110_27,Low (Surface),835,14,,
10110_27,All Fires,116,100,,
10110_28,Replacement,148,79,50,300
10110_28,Moderate (Mixed),1761,7,,
10110_28,Low (Surface),860,14,,
10110_28,All Fires,118,100,,
10110_6_10_12_17_18_19,Replacement,67,46,50,300
10110_6_10_12_17_18_19,Moderate (Mixed),56,54,20,60
10110_6_10_12_17_18_19,Low (Surface),,,,
10110_6_10_12_17_18_19,All Fires,30,100,,
10110_7,Replacement,124,45,50,300
10110_7,Moderate (Mixed),100,55,,
10110_7,Low (Surface),,,,
10110_7,All Fires,55,100,,
10110_9,Replacement,59,46,50,300
10110_9,Moderate (Mixed),50,54,20,60
10110_9,Low (Surface),,,,
10110_9,All Fires,27,100,,
10120_16_27,Replacement,135,38,,
10120_16_27,Moderate (Mixed),81,62,,
10120_16_27,Low (Surface),,,,
10120_16_27,All Fires,51,100,,
10120_17_18_21,Replacement,137,37,,
10120_17_18_21,Moderate (Mixed),82,63,,
10120_17_18_21,Low (Surface),,,,
10120_17_18_21,All Fires,51,100,,
