"BPS_MODEL","Symbol","Scientific.Name","Common.Name"
"16011_67_68_69_70_71_72_73_74_76_78","PIGL","Picea glauca","White spruce"
"16011_67_68_69_70_71_72_73_74_76_78","PIMA","Picea mariana","Black spruce"
"16011_67_68_69_70_71_72_73_74_76_78","BENA","Betula nana","Dwarf birch"
"16011_67_68_69_70_71_72_73_74_76_78","BEGL","Betula glandulosa","Resin birch"
"16011_67_68_69_70_71_72_73_74_76_78","VAUL","Vaccinium uliginosum","Bog blueberry"
"16011_67_68_69_70_71_72_73_74_76_78","VAVI","Vaccinium vitis-idaea","Lingonberry"
"16011_67_68_69_70_71_72_73_74_76_78","LEPAD","Ledum palustre ssp. decumbens","Marsh Labrador tea"
"16011_67_68_69_70_71_72_73_74_76_78","EMNI","Empetrum nigrum","Black crowberry"
"16011_67_68_69_70_71_72_73_74_76_78","BENE4","Betula neoalaskana","Resin birch"
"16012_73_74_75_77_78","PIGL","Picea glauca","White spruce"
"16012_73_74_75_77_78","BEPAK","Betula papyrifera var. kenaica","Kenai birch"
"16012_73_74_75_77_78","BENA","Betula nana","Dwarf birch"
"16012_73_74_75_77_78","VAUL","Vaccinium uliginosum","Bog blueberry"
"16012_73_74_75_77_78","LEGR","Ledum groenlandicum","Bog Labrador tea"
"16012_73_74_75_77_78","ALVIS","Alnus viridis ssp. sinuata","Sitka alder"
"16012_73_74_75_77_78","SAPU15","Salix pulchra","Tealeaf willow"
"16013_68_69_70_72_73_74_76","POBA2","Populus balsamifera","Balsam poplar"
"16013_68_69_70_72_73_74_76","POTR5","Populus tremuloides","Quaking aspen"
"16013_68_69_70_72_73_74_76","VIED","Viburnum edule","Squashberry"
"16013_68_69_70_72_73_74_76","ROAC","Rosa acicularis","Prickly rose"
"16013_68_69_70_72_73_74_76","ARCTO3","Arctostaphylos","Manzanita"
"16013_68_69_70_72_73_74_76","SAAL","Salix alaxensis","Feltleaf willow"
"16013_68_69_70_72_73_74_76","CACA4","Calamagrostis canadensis","Bluejoint"
