"bps_model_id","severity","avg_fi","percent_of_all_fires","min_fi","max_fi"
"16011_67_68_69_70_71_72_73_74_76_78","Replacement","285","64","",""
"16011_67_68_69_70_71_72_73_74_76_78","Moderate (Mixed)","511","36","",""
"16011_67_68_69_70_71_72_73_74_76_78","Low (Surface)","","","",""
"16011_67_68_69_70_71_72_73_74_76_78","All Fires","183","100","",""
"16012_73_74_75_77_78","Replacement","401","73","",""
"16012_73_74_75_77_78","Moderate (Mixed)","1062","27","",""
"16012_73_74_75_77_78","Low (Surface)","","","",""
"16012_73_74_75_77_78","All Fires","291","100","",""
"16013_68_69_70_72_73_74_76","Replacement","1183","18","",""
"16013_68_69_70_72_73_74_76","Moderate (Mixed)","258","82","",""
"16013_68_69_70_72_73_74_76","Low (Surface)","","","",""
"16013_68_69_70_72_73_74_76","All Fires","212","100","",""
"16030_67_68_69_70_71_72_73_74_75_76_77_78","Replacement","253","60","",""
"16030_67_68_69_70_71_72_73_74_75_76_77_78","Moderate (Mixed)","373","40","",""
"16030_67_68_69_70_71_72_73_74_75_76_77_78","Low (Surface)","","","",""
"16030_67_68_69_70_71_72_73_74_75_76_77_78","All Fires","151","100","",""
"16041_68_69_70_71_72_73_74_75_76_77_78","Replacement","172","59","",""
"16041_68_69_70_71_72_73_74_75_76_77_78","Moderate (Mixed)","251","41","",""
"16041_68_69_70_71_72_73_74_75_76_77_78","Low (Surface)","","","",""
"16041_68_69_70_71_72_73_74_75_76_77_78","All Fires","102","100","",""
"16042_73_74_75_76_77_78","Replacement","219","87","",""
"16042_73_74_75_76_77_78","Moderate (Mixed)","1424","13","",""
"16042_73_74_75_76_77_78","Low (Surface)","","","",""
"16042_73_74_75_76_77_78","All Fires","190","100","",""
"16050_67_68_69_70_71_72_73_74_75_76_77_78_80","Replacement","249","64","",""
"16050_67_68_69_70_71_72_73_74_75_76_77_78_80","Moderate (Mixed)","444","36","",""
"16050_67_68_69_70_71_72_73_74_75_76_77_78_80","Low (Surface)","","","",""
"16050_67_68_69_70_71_72_73_74_75_76_77_78_80","All Fires","160","100","",""
"16061_70_71_73_74_75_76_77_78","Replacement","301","66","",""
"16061_70_71_73_74_75_76_77_78","Moderate (Mixed)","576","34","",""
"16061_70_71_73_74_75_76_77_78","Low (Surface)","","","",""
"16061_70_71_73_74_75_76_77_78","All Fires","198","100","",""
"16062_74","Replacement","253","100","",""
"16062_74","Moderate (Mixed)","","","",""
"16062_74","Low (Surface)","","","",""
"16062_74","All Fires","253","100","",""
"16090_68_69_70_71_72_73_74_75_76_77_78","Replacement","620","100","",""
"16090_68_69_70_71_72_73_74_75_76_77_78","Moderate (Mixed)","","","",""
"16090_68_69_70_71_72_73_74_75_76_77_78","Low (Surface)","","","",""
"16090_68_69_70_71_72_73_74_75_76_77_78","All Fires","620","100","",""
"16091_68_69_70_71_72_73_74_75_76","Replacement","788","100","",""
"16091_68_69_70_71_72_73_74_75_76","Moderate (Mixed)","","","",""
"16091_68_69_70_71_72_73_74_75_76","Low (Surface)","","","",""
"16091_68_69_70_71_72_73_74_75_76","All Fires","788","100","",""
"16101_68_69_70_71_72_73_74_75_76_77","Replacement","201","100","",""
"16101_68_69_70_71_72_73_74_75_76_77","Moderate (Mixed)","","","",""
"16101_68_69_70_71_72_73_74_75_76_77","Low (Surface)","","","",""
"16101_68_69_70_71_72_73_74_75_76_77","All Fires","201","100","",""
"16102_73_74_75_76_77","Replacement","301","100","",""
"16102_73_74_75_76_77","Moderate (Mixed)","","","",""
"16102_73_74_75_76_77","Low (Surface)","","","",""
"16102_73_74_75_76_77","All Fires","301","100","",""
"16110_68_69_70_71_72_73_74_75_76_77_78_80","Replacement","1034","83","",""
"16110_68_69_70_71_72_73_74_75_76_77_78_80","Moderate (Mixed)","5112","17","",""
"16110_68_69_70_71_72_73_74_75_76_77_78_80","Low (Surface)","","","",""
"16110_68_69_70_71_72_73_74_75_76_77_78_80","All Fires","860","100","",""
"16120_70_71_73_74","Replacement","100","100","",""
"16120_70_71_73_74","Moderate (Mixed)","","","",""
"16120_70_71_73_74","Low (Surface)","","","",""
"16120_70_71_73_74","All Fires","100","100","",""
"16130_68","Replacement","","","",""
"16130_68","Moderate (Mixed)","","","",""
"16130_68","Low (Surface)","","","",""
"16130_68","All Fires","","","",""
"16141_68_69_70_71_72_73_74_76_78","Replacement","5952","5","",""
"16141_68_69_70_71_72_73_74_76_78","Moderate (Mixed)","315","95","",""
"16141_68_69_70_71_72_73_74_76_78","Low (Surface)","","","",""
"16141_68_69_70_71_72_73_74_76_78","All Fires","299","100","",""
"16142_73_74_75_76_77_78","Replacement","6702","10","",""
"16142_73_74_75_76_77_78","Moderate (Mixed)","754","90","",""
"16142_73_74_75_76_77_78","Low (Surface)","","","",""
"16142_73_74_75_76_77_78","All Fires","678","100","",""
"16150_68_69_70_71_72_73_74_75_76_77_80","Replacement","4055","6","",""
"16150_68_69_70_71_72_73_74_75_76_77_80","Moderate (Mixed)","280","94","",""
